Element    Ei1      Ei2	 	  Abundance
      1.00000      13.5950      0.00000     12.0000
      2.00000      24.5800      54.4030     11.0000
      3.00000      5.39000      75.6200     1.00000
      4.00000      9.32000      18.2100     1.15000
      5.00000      8.29800      25.1500     2.60000
      6.00000      11.2560      24.3760     8.69000
      7.00000      14.5290      29.5900     7.99000
      8.00000      13.6140      35.1100     8.91000
      9.00000      17.4180      34.9800     4.56000
      10.0000      21.5590      41.0700     8.00000
      11.0000      5.13800      47.2900     6.28000
      12.0000      7.64400      15.0300     7.53000
      13.0000      5.98400      18.8230     6.43000
      14.0000      8.14900      16.3400     7.50000
      15.0000      10.4740      19.7200     5.45000
      16.0000      10.3570      23.4050     7.21000
      17.0000      13.0120      23.7980     5.50000
      18.0000      15.7550      27.6200     6.58000
      19.0000      4.33900      31.8100     5.05000
      20.0000      6.11100      11.8680     6.36000
      21.0000      6.53800      12.8910     2.99000
      22.0000      6.82500      13.6300     4.88000
      23.0000      6.73800      14.2050     3.91000
      24.0000      6.76300      16.4930     5.61000
      25.0000      7.43200      15.6360     5.47000
      26.0000      7.89600      16.1780     7.50000
      27.0000      7.86300      17.0520     4.85000
      28.0000      7.63300      18.1500     6.18000
      29.0000      7.72400      20.2860     4.24000
      30.0000      9.39100      17.9600     4.60000
      31.0000      5.99700      20.5090     2.88000
      32.0000      7.88000      15.9300     3.57000
      33.0000      9.81000      18.6300     2.39000
      34.0000      9.75000      21.5000     3.35000
      35.0000      11.8400      21.6000     2.63000
      36.0000      13.9960      24.5650     3.21000
      37.0000      4.17600      27.5000     2.60000
      38.0000      5.69200      11.0270     2.93000
      39.0000      6.37700      12.2330     2.18000
      40.0000      6.83800      13.1300     2.46000
      41.0000      6.88100      14.3160     1.46000
      42.0000      7.10000      16.1500     2.10000
      43.0000      7.28000      15.2600     0.00000
      44.0000      7.36000      16.7600     1.78000
      45.0000      7.46000      18.0700     1.10000
      46.0000      8.33000      19.4200     1.69000
      47.0000      7.57400      21.4800    0.940000
      48.0000      8.99100      16.9040     1.86000
      49.0000      5.78500      18.8600     1.66000
      50.0000      7.34000      14.6300     2.00000
      51.0000      8.64000      16.5000     1.00000
      52.0000      9.01000      18.6000     2.25000
      53.0000      10.4540      19.0900     1.51000
      54.0000      12.1270      21.2000     2.19000
      55.0000      3.89300      25.1000     1.12000
      56.0000      5.21000      10.0010     2.18000
      57.0000      5.57700      11.0600     1.07000
      58.0000      5.46600      10.8500     1.58000
      59.0000      5.42200      10.5500    0.760000
      60.0000      5.48900      10.7300     1.40000
      61.0000      5.55400      10.8990     0.00000
      62.0000      5.63100      11.0690    0.880000
      63.0000      5.66600      11.2410    0.480000
      64.0000      6.14100      12.0900     1.13000
      65.0000      5.85200      11.5190    0.200000
      66.0000      5.92700      11.6700     1.07000
      67.0000      6.01800      11.8000    0.260000
      68.0000      6.10100      11.9300    0.930000
      69.0000      6.18400      12.0500     0.00000
      70.0000      6.25400      12.1840     1.08000
      71.0000      5.42600      13.9000    0.760000
      72.0000      6.65000      14.9000    0.880000
      73.0000      7.87900      16.2000  -0.0900000
      74.0000      7.98000      17.7000    0.980000
      75.0000      7.87000      16.6000    0.260000
      76.0000      8.70000      17.0000     1.45000
      77.0000      9.10000      20.0000     1.36000
      78.0000      9.00000      18.5600     1.80000
      79.0000      9.22000      20.5000     1.13000
      80.0000      10.4300      18.7500     1.27000
      81.0000      6.10500      20.4200    0.900000
      82.0000      7.41500      15.0300     1.90000
      83.0000      7.28700      16.6800    0.710000
      84.0000      8.43000      19.0000    -8.00000
      85.0000      9.30000      20.0000    -8.00000
      86.0000      10.7450      20.0000    -8.00000
      87.0000      4.00000      22.0000    -8.00000
      88.0000      5.27600      10.1440    -8.00000
      89.0000      6.90000      12.1000    -8.00000
      90.0000      6.00000      12.0000   0.0200000
      91.0000      6.00000      12.0000    -8.00000
      92.0000      6.00000      12.0000   -0.470000
